Institution,Funder,Number
"IITA Cotonou, Benin",DFID UK,0
"IITA Cotonou, Benin",DFS Germany,0
"IITA Cotonou, Benin",GMECD Germany,0
"IITA Cotonou, Benin",IAEA Austria,0
"IITA Cotonou, Benin",SIDA Sweden,0
"IITA Cotonou, Benin",TWAS Italy,0
"IITA Cotonou, Benin",USDA-ARS USA,0
"IITA Cotonou, Benin",WT UK,0
"IITA Cotonou, Benin",ICIPE Kenya,0
"IITA Cotonou, Benin",IFAD Kenya,0
"IITA Cotonou, Benin",KG Kenya,0
"IITA Cotonou, Benin","MHESR, Algeria",0
"IITA Cotonou, Benin",NFSR Algeria,0
"IITA Cotonou, Benin",NRF South Africa,0
"IITA Cotonou, Benin",TMHESR Tunisia,0
"IITA Cotonou, Benin",Other funders,2
NWU South Africa,AVHF Germany,0
NWU South Africa,BDC Belgium,0
NWU South Africa,DAAD Germany,0
NWU South Africa,DFID UK,0
NWU South Africa,DFS Germany,0
NWU South Africa,GMECD Germany,0
NWU South Africa,IAEA Austria,0
NWU South Africa,SIDA Sweden,0
NWU South Africa,TWAS Italy,0
NWU South Africa,USDA-ARS USA,0
NWU South Africa,WT UK,0
NWU South Africa,ICIPE Kenya,0
NWU South Africa,IFAD Kenya,0
NWU South Africa,KG Kenya,0
NWU South Africa,"MHESR, Algeria",0
NWU South Africa,NFSR Algeria,0
NWU South Africa,NRF South Africa,0
NWU South Africa,TMHESR Tunisia,0
NWU South Africa,Other funders,3
Others Institutions,TMHESR Tunisia,3
Others Institutions,Other funders,21
"SU, South Africa",AVHF Germany,0
"SU, South Africa",BDC Belgium,0
"SU, South Africa",DAAD Germany,0
"SU, South Africa",DFID UK,0
"SU, South Africa",DFS Germany,0
"SU, South Africa",GMECD Germany,0
"SU, South Africa",IAEA Austria,0
"SU, South Africa",SIDA Sweden,0
"SU, South Africa",TWAS Italy,0
"SU, South Africa",USDA-ARS USA,0
"SU, South Africa",WT UK,0
"SU, South Africa",ICIPE Kenya,0
"SU, South Africa",IFAD Kenya,0
"SU, South Africa",KG Kenya,0
"SU, South Africa","MHESR, Algeria",0
"SU, South Africa",NFSR Algeria,0
"SU, South Africa",NRF South Africa,2
"SU, South Africa",TMHESR Tunisia,0
"SU, South Africa",Other funders,1
SUA Tanzania,AVHF Germany,0
SUA Tanzania,BDC Belgium,0
SUA Tanzania,DAAD Germany,0
SUA Tanzania,DFID UK,0
SUA Tanzania,DFS Germany,0
SUA Tanzania,GMECD Germany,0
SUA Tanzania,IAEA Austria,0
SUA Tanzania,SIDA Sweden,0
SUA Tanzania,TWAS Italy,0
SUA Tanzania,USDA-ARS USA,0
SUA Tanzania,WT UK,0
SUA Tanzania,ICIPE Kenya,0
SUA Tanzania,IFAD Kenya,0
SUA Tanzania,KG Kenya,0
SUA Tanzania,"MHESR, Algeria",0
SUA Tanzania,NFSR Algeria,0
SUA Tanzania,NRF South Africa,3
SUA Tanzania,TMHESR Tunisia,0
SUA Tanzania,Other funders,1
"UI, Nigeria",AVHF Germany,0
"UI, Nigeria",BDC Belgium,0
"UI, Nigeria",DAAD Germany,0
"UI, Nigeria",DFID UK,0
"UI, Nigeria",DFS Germany,0
"UI, Nigeria",GMECD Germany,0
"UI, Nigeria",IAEA Austria,0
"UI, Nigeria",SIDA Sweden,0
"UI, Nigeria",TWAS Italy,3
"UI, Nigeria",USDA-ARS USA,0
"UI, Nigeria",WT UK,0
"UI, Nigeria",ICIPE Kenya,0
"UI, Nigeria",IFAD Kenya,0
"UI, Nigeria",KG Kenya,0
"UI, Nigeria","MHESR, Algeria",0
"UI, Nigeria",NFSR Algeria,0
"UI, Nigeria",NRF South Africa,0
"UI, Nigeria",TMHESR Tunisia,0
"UI, Nigeria",Other funders,7
UP South Africa,AVHF Germany,0
UP South Africa,BDC Belgium,0
UP South Africa,DAAD Germany,0
UP South Africa,DFID UK,0
UP South Africa,DFS Germany,0
UP South Africa,GMECD Germany,0
UP South Africa,IAEA Austria,0
UP South Africa,SIDA Sweden,0
UP South Africa,TWAS Italy,0
UP South Africa,USDA-ARS USA,0
UP South Africa,WT UK,0
UP South Africa,ICIPE Kenya,0
UP South Africa,IFAD Kenya,0
UP South Africa,KG Kenya,0
UP South Africa,"MHESR, Algeria",0
UP South Africa,NFSR Algeria,0
UP South Africa,NRF South Africa,3
UP South Africa,TMHESR Tunisia,0
UP South Africa,Other funders,3
"UT El Manar, Tunisia",AVHF Germany,0
"UT El Manar, Tunisia",BDC Belgium,0
"UT El Manar, Tunisia",DAAD Germany,0
"UT El Manar, Tunisia",DFID UK,0
"UT El Manar, Tunisia",DFS Germany,0
"UT El Manar, Tunisia",GMECD Germany,0
"UT El Manar, Tunisia",IAEA Austria,0
"UT El Manar, Tunisia",SIDA Sweden,0
"UT El Manar, Tunisia",TWAS Italy,0
"UT El Manar, Tunisia",USDA-ARS USA,0
"UT El Manar, Tunisia",WT UK,0
"UT El Manar, Tunisia",ICIPE Kenya,0
"UT El Manar, Tunisia",IFAD Kenya,0
"UT El Manar, Tunisia",KG Kenya,0
"UT El Manar, Tunisia","MHESR, Algeria",0
"UT El Manar, Tunisia",NFSR Algeria,0
"UT El Manar, Tunisia",NRF South Africa,0
"UT El Manar, Tunisia",TMHESR Tunisia,0
"UT El Manar, Tunisia",Other funders,2
Others Institutions,AVHF Germany,4
Other Institutions,BDC Belgium,0
Other Institutions,DAAD Germany,3
Other Institutions,DFID UK,0
Other Institutions,DFS Germany,5
Other Institutions,GMECD Germany,1
Other Institutions,IAEA Austria,1
Other Institutions,SIDA Sweden,0
Other Institutions,TWAS Italy,0
Other Institutions,USDA-ARS USA,0
Other Institutions,WT UK,3
Other Institutions,ICIPE Kenya,0
Other Institutions,IFAD Kenya,0
Other Institutions,KG Kenya,0
Other Institutions,"MHESR, Algeria",2
Other Institutions,NFSR Algeria,0
Other Institutions,NRF South Africa,10
